62,Darkolivegreen,Lemonchiffon 3,Gray 70,Yellowgreen,Gray 25,Gray 85
63,Gray 25,Bisque 3,Azure 3,Darkolivegreen,Royalblue 4,Gray 85
64,Mintcream,Peru,Seashell 2,Indianred 3,Gray 10,Orangered 4
65,Aliceblue,Mistyrose 2,Sgi Salmon,Antiquewhite 3,Gainsboro,Burntumber
66,Brown 4,Indianred,Ivoryblack,Antiquewhite 3,Darkseagreen,Gray 20
67,Sgi Gray 16,Dimgray 1,Peru,Sgi Lightblue,Gray 10,Peachpuff 2
68,Antiquewhite 3,Seashell 2,Orange 3,Ivory 4,Gray 85,Melon
69,Lightgrey,Burlywood 4,Sgi Brightgray,Darkolivegreen,Lightblue 4,Azure 3
70,Lavenderblush 3,Lemonchiffon 4,Lightcyan 3,Sgi Gray 16,Ivoryblack,Steelblue
71,Teal,Banana,Azure 3,Darkslategray,Gray 99,Paleturquoise 3
72,Sgi Brightgray,Tan 4,Sepia,Burlywood 3,Gray 75,Darkolivegreen
73,Ivoryblack,Darkolivegreen 4,Wheat 4,Ivory 3,Sgi Lightgray,Sgi Brightgray
74,Bisque 2,Burlywood 4,Peachpuff 3,Gray 20,Gray 25,Rosybrown
75,Lightsalmon 4,Burlywood 3,Gray 95,Antiquewhite 2,Sgi Gray 76,Steelblue 4
76,Snow 2,Gainsboro,Cadetblue 3,Rosybrown 3,Dodgerblue 3,Gray 95
77,Gray 20,Tan,Sienna 3,Ivory 2,Gray 85,Gainsboro
78,Lightgrey,Lightsalmon 4,Sgi Darkgray,Darkkhaki,Palegreen 4,Bisque 3
79,Azure 3,Lightsalmon 4,Peachpuff 3,Darkolivegreen,Teal,Darkseagreen 4
80,Sgi Lightgray,Gray 20,Ivoryblack,Lightyellow 3,Slategray 4,Lightsteelblue 2
81,Sepia,Bisque 4,Lightsalmon 4,Lightskyblue 3,Cadetblue,Darkslategray
82,Ivory 3,Royalblue 3,Sepia,Lightyellow 3,Lightsteelblue 4,Bisque 4
83,Darkolivegreen,Burlywood 4,Rosybrown,Azure 3,Gray 60,Mistyrose 2
84,Darkseagreen 4,Gray 90,Lightyellow 3,Ivoryblack,Gray 20,Rosybrown
85,Snow 1,Skyblue 4,White Smoke 2,Slategray 3,Gray 40,Mediumpurple
86,Lightyellow 4,Darkolivegreen,Darkolivegreen,Antiquewhite 2,Black,White 1
87,White Smoke 2,Darkolivegreen,Ivory 3,Lemonchiffon 4,Gray 25,Lightgrey
88,Burlywood 3,Gray 25,Ivoryblack,Lightsalmon 4,Gray 15,Bisque 2
89,Burlywood 2,Deepskyblue 2,Slategray 1,Skyblue 2,Palevioletred 3,Thistle
90,Seashell 2,Palevioletred 2,Burlywood,Palegoldenrod,Tan 4,Darkkhaki
91,Ivory 3,Gray 85,Navajowhite 4,Ivoryblack,Gray 20,Chocolate 3
92,Ivoryblack,Burlywood 4,Sepia,Burlywood 3,Gray 30,Palevioletred 4
93,Gray 30,Lightsalmon 3,Gray 10,Plum 3,Mediumpurple 4,Plum 3
94,Gray 99,Gray 85,Darkslategray,Snow 2,Gray 30,Lightyellow 4
95,Gray 95,Cornsilk 2,Bisque 2,Darkolivegreen,Forestgreen,Gray 20
96,Gainsboro,Honeydew 3,Seagreen 4,Peachpuff 3,Gray 80,Lightsalmon 4
97,Burlywood 4,Burlywood 3,Sepia,Cornsilk 2,Sgi Gray 76,Lightsalmon 4
98,Dimgray 1,Ivoryblack,Sgi Gray 16,Azure 3,Gray 60,Sgi Gray 36
99,Peachpuff 2,Gray 20,Burntumber,Coral 3,Gray 30,Ivoryblack
100,Gray 90,Peachpuff 2,Peru,Gray 95,Rosybrown 2,Melon
101,Tan 4,Gray 20,Gray 25,Peachpuff 2,Darkolivegreen,Sgi Gray 56
102,Gray 10,Gray 60,Gray 70,Gray 10,Lightsteelblue 4,Rosybrown
103,Sgi Brightgray,Gray 70,Gray 80,Sgi Gray 56,Salmon 4,Bisque 3
104,Azure 4,Seashell 3,Gray 30,Gray 60,Sgi Darkgray,Lemonchiffon 4
105,Gray 90,Ivory 3,Gray 20,Mistyrose 3,Ivory 4,Sgi Gray 36
106,Gray 10,Gray 30,Bisque 4,Sepia,Gray 70,Palevioletred 3
107,Gray 5,Sepia,Gray 10,Sepia,Darkgray,Gray 55
108,Steelblue 4,Gray 35,Sgi Lightblue,Gray 20,Gray 20,Khaki 4
109,Gray 10,Gray 70,Tan 4,Bisque 3,Lightgrey,Ivoryblack
110,Sepia,Bisque 3,Gray 60,Lemonchiffon 4,Gray 25,Lightcyan 3
111,Antiquewhite 2,Tan 4,Gray 20,Khaki 4,Sepia,Burlywood 3
112,Gray 45,Ivory 3,Gray 90,Lightgrey,Gray 25,Sgi Gray 36
113,Gray 30,Lightgrey,Gray 90,Gray 90,Lightsalmon 4,Mistyrose 2
114,Seashell 2,Orange 2,Burlywood 3,Peachpuff 2,Azure 2,Sepia
115,Sepia,Navajowhite 2,Gray 10,Burntumber,Gray 20,Salmon 2
116,Mistyrose 3,Lavender,Sgi Darkgray,Sepia,Gray 85,Lightgrey
117,Ivoryblack,Ivory 4,Gray 20,Palegreen 4,Ivoryblack,Rosybrown 3
118,Darkolivegreen,Sgi Brightgray,Gray 80,Lightgoldenrod 4,Lightcyan 3,Sepia
119,Olivedrab 4,Lightgrey,Lightyellow 3,Lightgrey,Gray 25,Gray 45
120,Gainsboro,Chocolate 1,Gainsboro,Peachpuff 2,Azure 2,Gray 90
121,Sienna 3,Gray 90,Burlywood 3,Antiquewhite 2,Lightcoral,Sepia
122,Bisque 3,Gainsboro,Salmon 4,Sgi Salmon,Gray 35,Lavenderblush 4
